lat;lon;NN;PPM_Cu;PPM_Pb;PPM_Zn;PPM_Ni;PPM_As;PPM_Cd;PPM_Cr;PPB_Hg
39.2726386;29.29504877;K-1;15.28;28.86;64;50;425.5;0.49;26;98
39.26015839;29.29012179;K-2;10.21;18.11;31.3;37.6;68;0.25;17.1;59
39.26440095;29.29291399;K-3;15.45;22.06;52.8;42.6;250.5;0.4;21;217
39.27917387;29.28663745;K-4;11.24;20.23;58.3;44.5;176.1;0.3;22.4;184
39.27357481;29.28684946;K-5;14.04;19.58;29.5;43.7;764.6;0.15;34.6;110
39.27508478;29.28336313;K-6;23.35;29.53;70.2;64;327.6;0.35;25.1;90
39.27052492;29.28617073;K-7;19.32;25.93;55;58.6;312.5;0.25;31.6;140
39.26455939;29.28026301;K-8;15.7;24.8;47.5;55.6;70.8;0.29;29.2;32
39.27024751;29.28194266;K-9;23.5;25.97;71.4;55.3;375.5;0.31;23.8;94
39.27344696;29.27636672;K-10;23.86;40.96;57.8;51.3;423.9;0.22;27.4;139
39.27166928;29.28019218;K-11;24.08;27.27;68.2;61.6;405;0.32;25.2;111
39.27263235;29.27793994;K-12;22.37;32.81;71.5;59.8;371.9;0.38;25.8;105
39.27517354;29.27561121;K-13;13.23;18.91;43.7;65.9;181.3;0.22;36.4;17
39.27062155;29.28583774;K-14;19.62;24.97;58.7;64.8;389.6;0.31;28.1;84
39.27096974;29.28599974;K-15;17.34;23.77;48.3;60.5;619.8;0.24;25;265
39.27043602;29.28610989;K-16;18.81;25.39;61.4;66;395.8;0.3;31.1;83
39.28506643;29.25661704;İ-1;13.59;20.2;40.7;82.5;55.1;0.2;40.3;
39.28093222;29.25516276;İ-2;13.74;29.61;40.5;113.7;44.8;0.24;45.8;27
39.28461693;29.2528464;İ-3;19.06;22.98;52.9;82.1;48.1;0.37;35.9;47
39.28393947;29.25107412;İ-4;15.33;23.31;44.6;78;95.6;0.2;36.2;27
39.28486795;29.24825191;İ-5;14.43;22.71;41.5;82.9;83.8;0.23;38.9;24
39.25172734;29.22310158;HT-1;13.67;43.71;62.8;46.3;98.4;0.27;24;44
39.25295075;29.22508702;HT-2;23.37;55.22;107.9;59;97.5;0.6;31;34
39.24915876;29.23490914;HT-3;21.18;35.23;72.4;104.6;67.7;0.33;43.1;39
39.25111319;29.22223627;HT-4;16.68;67.61;84.6;20.1;208.4;0.62;19.7;27
39.25178661;29.22330044;HT-5;18.56;35.72;77.8;98.4;85.6;0.28;46.8;2181
39.24879579;29.2373889;HT-6;24.24;42.33;75.9;128.1;140;0.31;55.8;88
39.35381214;29.25458071;E-1;15.55;45.68;77.9;21.7;58.8;0.19;20.8;50
39.36178411;29.25465142;E-2;12.91;39.88;69.8;30.9;22.4;0.57;27.5;12
39.34937113;29.26983635;E-3;17.54;31.49;63.2;49.3;25.3;0.3;34.2;41
39.35097321;29.26622128;E-4;13.69;43.61;75.1;37.8;25.3;0.78;31.4;27
39.25416492;29.25562566;H-1;14.13;26.01;41;141.4;151.8;0.23;59.1;33
39.25504187;29.26104236;H-2;12.21;19.23;31.9;74.3;484.3;0.2;30;27
39.25760248;29.26742894;H-3;15.07;21.44;49.5;84.2;96.4;0.25;44.3;22
39.25766155;29.26994561;H-4;21.01;29.22;64.2;96.3;133.5;0.3;54.9;33
39.35527637;29.26130063;EM-1;13.57;40.45;75.1;23.9;64.9;0.2;17.4;36
39.34587797;29.26184461;EM-2;12.19;34.94;61.2;25.4;31.5;0.21;18.4;15
39.33553479;29.25350597;EM-3;26.93;44.63;88.3;49.9;83.6;0.54;29;105
39.33551294;29.25323843;EM-4;18.12;51.25;65.9;46.9;82.6;0.35;27.3;72
39.34208585;29.25901888;EM-5;13.07;107.68;56.6;25.6;66.8;0.27;18.5;44
39.33640616;29.25410245;EM-6;13.57;40.79;60.1;33.6;155.6;0.84;24;27
39.3356429;29.25071344;EM-7;14.09;35.31;57.7;84.5;96.7;0.28;46.6;10
39.34341916;29.27013104;EM-8;16.33;31.72;58.5;68.4;54.2;0.24;36.3;41
39.35727766;29.20777192;Y-1;29.48;18.15;61.5;46.5;157.3;0.22;48.3;38
39.35464736;29.20774712;Y-2;16.29;50.33;92.7;25.8;46.1;0.64;21.7;60
39.35693402;29.21068563;Y-3;15.62;49.31;118.6;35.1;124.3;0.63;27.1;42
39.34733509;29.21845918;Y-4;13.69;64.84;99.4;19.6;35.5;0.85;15.9;41
39.35030481;29.21911013;Y-5;35.29;102.74;185.3;37.5;441.9;1.99;21.2;236
39.35244002;29.21627657;Y-6;7.53;7.56;118.2;16;211.4;0.17;13.1;25
39.35447241;29.22308324;Y-7;23.29;42.81;126.3;30.7;65.8;0.47;21.2;65
39.35185975;29.22402159;Y-8;14.13;55.94;83.6;27.4;214.9;0.64;17;48
39.35328257;29.2202836;Y-9;15.5;64.55;80.9;26.1;79.4;0.38;23.8;76
39.35349616;29.22089381;Y-10;12.4;40.91;50.4;24.3;48.5;0.18;20.4;42
